zip,hud_area_code,metro,area_name,state,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
76437,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,880,1090,1420,1710
76443,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
76464,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
76469,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,870,1090,1420,1710
79501,METRO10180M10180,metro,"Abilene, TX MSA",TX,900,910,1140,1480,1780
79503,METRO10180M10180,metro,"Abilene, TX MSA",TX,860,870,1090,1440,1710
79504,METRO10180M10180,metro,"Abilene, TX MSA",TX,860,860,1090,1420,1710
79508,METRO10180M10180,metro,"Abilene, TX MSA",TX,980,990,1240,1610,1930
79510,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
79519,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
79520,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
79521,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
79525,METRO10180M10180,metro,"Abilene, TX MSA",TX,960,970,1210,1580,1890
79530,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
79533,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
79536,METRO10180M10180,metro,"Abilene, TX MSA",TX,1160,1170,1460,1890,2270
79541,METRO10180M10180,metro,"Abilene, TX MSA",TX,1020,1030,1300,1670,2010
79553,METRO10180M10180,metro,"Abilene, TX MSA",TX,900,910,1140,1480,1770
79560,METRO10180M10180,metro,"Abilene, TX MSA",TX,880,890,1120,1440,1740
79561,METRO10180M10180,metro,"Abilene, TX MSA",TX,850,860,1090,1420,1710
79562,METRO10180M10180,metro,"Abilene, TX MSA",TX,1500,1520,1900,2460,2960
79563,METRO10180M10180,metro,"Abilene, TX MSA",TX,910,920,1150,1490,1790
